lang,none,real,unreal,random
en-r-1,0.91,0.80,0.81,0.91
en-r-2-subordinate,0.87,0.83,0.80,0.91
en-r-3-passive,0.91,0.85,0.83,0.94
en-u-1-negation,0.59,0.57,0.51,0.55
en-u-2-inversion,0.59,0.59,0.58,0.59
en-u-3-wh,0.59,0.54,0.52,0.52
ita-r-1,0.80,0.63,0.76,0.80
ita-r-2-subordinate,0.78,0.60,0.67,0.74
ita-r-3-passive,0.83,0.64,0.74,0.81
ita-u-1-negation,0.84,0.62,0.59,0.70
ita-u-2-inversion,0.52,0.50,0.50,0.51
ita-u-3-gender,0.42,0.45,0.44,0.43
jap-r-1,0.87,0.61,0.61,0.64
jap-r-2-subordinate,0.67,0.51,0.53,0.58
jap-r-3-passive,0.92,0.68,0.73,0.82
jap-u-1-negation,0.84,0.69,0.65,0.75
jap-u-2-inversion,0.65,0.54,0.63,0.61
jap-u-3-past-tense,0.66,0.57,0.55,0.57
