none,real,unreal,random,lang
0.92,0.84,0.88,0.93,en-r-1
0.90,0.86,0.89,0.94,en-r-2-subordinate
0.94,0.87,0.91,0.96,en-r-3-passive
0.59,0.56,0.52,0.53,en-u-1-negation
0.58,0.61,0.57,0.59,en-u-2-inversion
0.62,0.59,0.58,0.60,en-u-3-wh
0.83,0.69,0.81,0.87,ita-r-1
0.76,0.62,0.71,0.80,ita-r-2-subordinate
0.85,0.71,0.83,0.89,ita-r-3-passive
0.81,0.65,0.58,0.73,ita-u-1-negation
0.53,0.53,0.51,0.53,ita-u-2-inversion
0.45,0.45,0.44,0.44,ita-u-3-gender
0.88,0.61,0.65,0.68,jap-r-1
0.66,0.50,0.56,0.59,jap-r-2-subordinate
0.95,0.71,0.77,0.87,jap-r-3-passive
0.86,0.75,0.69,0.78,jap-u-1-negation
0.70,0.59,0.62,0.67,jap-u-2-inversion
0.69,0.56,0.58,0.61,jap-u-3-past-tense
