none,real,unreal,random,lang
0.93,0.86,0.87,0.92,en
0.89,0.86,0.88,0.91,en-r-1-subordinate
0.93,0.88,0.90,0.95,en-r-2-passive
0.62,0.65,0.54,0.62,en-u-1-negation
0.63,0.60,0.60,0.58,en-u-2-inversion
0.62,0.61,0.55,0.63,en-u-4-wh
0.83,0.69,0.78,0.86,ita
0.78,0.65,0.72,0.81,ita-r-2-subordinate
0.83,0.68,0.78,0.83,ita-r-3-passive
0.86,0.69,0.58,0.69,ita-u-1-negation
0.54,0.52,0.51,0.52,ita-u-2-invert
0.48,0.48,0.47,0.47,ita-u-3-gender
0.87,0.66,0.67,0.73,jap-r-1-sov
0.95,0.70,0.73,0.79,jap-r-2-passive
0.67,0.54,0.58,0.62,jap-r-3-subordinate
0.84,0.74,0.70,0.77,jap-u-1-negation
0.67,0.57,0.64,0.65,jap-u-2-invert
0.68,0.60,0.58,0.65,jap-u-3-past-tense
